,Titel,Schlüsselwörter
33,264980_cleaned,"[('brookmerland einwohnern', 0.6222), ('einwohner sozialversicherungspflichtig', 0.5615), ('landwirte tagelöhner', 0.5502), ('einwohnerdichte landes', 0.5327), ('einwohnern innerostfriesischen', 0.5193)]"
34,72164_cleaned,"[('bryce canyons', 0.6931), ('bryce canyon', 0.6727), ('canyon nationalparks', 0.6693), ('canyon bryce', 0.6666), ('canyon nationalpark', 0.6446)]"
35,39297_cleaned,"[('postkrieg briefmarken', 0.5792), ('wiederverwendung briefmarke', 0.579), ('deutsche briefmarke', 0.5789), ('postverwaltungen briefmarken', 0.5755), ('entwertungsform briefmarken', 0.5735)]"
36,1132020_cleaned,"[('deutschen aubin', 0.6069), ('hermann aubins', 0.6006), ('wissenschaftsverständnis aubin', 0.5923), ('hermann aubin', 0.586), ('geschichtswissenschaft aubin', 0.581)]"
37,3904462_cleaned,"[('buchenwald hauptprozess', 0.5931), ('rechtsgrundlagen buchenwald', 0.5657), ('buchenwald prozesses', 0.5655), ('buchenwald hauptprozesses', 0.5648), ('buchenwald entsetzlichen', 0.5578)]"
38,146113_cleaned,"[('augusta treverorum', 0.6006), ('römerbrücke trier', 0.5905), ('landesmuseums trier', 0.5866), ('trier römerbrücke', 0.5774), ('landesmuseum trier', 0.5698)]"
39,143632_cleaned,"[('ewwu europäische', 0.5562), ('europäischem währungsfonds', 0.5497), ('ewwu europäischen', 0.546), ('eurokrise europäische', 0.5377), ('europäischer währungsfonds', 0.5325)]"
40,1306587_cleaned,"[('epidemiologie listeriose', 0.7441), ('listeria infektionskrankheit', 0.7026), ('listeriose immunkompetenten', 0.6932), ('listeriose immunsupprimierten', 0.6821), ('immunkompetenten listeriose', 0.6816)]"
41,71375_cleaned,"[('musik band', 0.6279), ('musikbeispiele trio', 0.6109), ('musik trio', 0.6045), ('band musikalischen', 0.5976), ('music trio', 0.5881)]"
42,965407_cleaned,"[('ostfront russische', 0.6023), ('russische führungskrise', 0.568), ('russische kriegswirtschaft', 0.5672), ('russland österreich', 0.5661), ('russischen ostseegouvernements', 0.5656)]"
43,1087178_cleaned,"[('eruptionstätigkeit geysirs', 0.5904), ('eruptionstätigkeit geysire', 0.5763), ('geysire eruptionsverhalten', 0.5478), ('eruptionstätigkeit eruptionskanal', 0.5469), ('eruptionssäule wassereruptionen', 0.5458)]"
44,426634_cleaned,"[('jazz charlie', 0.6405), ('saxophonisten charles', 0.5905), ('bandleader charlie', 0.5769), ('haden charlie', 0.5335), ('musiker jazz', 0.5303)]"
45,807_cleaned,"[('element curium', 0.7207), ('elementaren curiums', 0.7024), ('curium elementen', 0.6969), ('elemente curium', 0.6942), ('curium radioaktives', 0.6863)]"
46,48503_cleaned,"[('miniaturausfertigungen städtischer', 0.5346), ('einwohnerentwicklung stadt', 0.5279), ('einwohnerentwicklung mini', 0.5207), ('einwohnerzahl stadt', 0.4881), ('stadttheaters memmingen', 0.4868)]"
47,4680132_cleaned,"[('ddr punkbands', 0.5848), ('bands schleime', 0.5688), ('punkbands zwitschermaschine', 0.5472), ('berlin band', 0.5357), ('album punk', 0.5166)]"
48,241073_cleaned,"[('silbermann gottfrieds', 0.7469), ('gottfried silbermann', 0.7384), ('gottfried silbermanns', 0.7286), ('instrumentenmacher gottfried', 0.6541), ('silbermanns baroquemusic', 0.6525)]"
49,4715524_cleaned,"[('regenbogen heidelberger', 0.5125), ('wissenschaften regenbogen', 0.511), ('otto regenbogens', 0.4942), ('senecaforschung bedeutend', 0.4927), ('heidelberg forschungsmethode', 0.4908)]"
50,608191_cleaned,"[('ammerseebahn bahnbetriebswerk', 0.6504), ('ammerseebahn bahnstrecke', 0.6449), ('bahn ammerseebahn', 0.6302), ('weilheim bahnstrecke', 0.627), ('bahn zwischenbahnsteig', 0.6268)]"
51,124785_cleaned,"[('matthäuspassion bachs', 0.7226), ('matthäuspassion bach', 0.7102), ('bachs matthäuspassion', 0.7056), ('bachs passionen', 0.6962), ('passion bwv', 0.6877)]"
52,62229_cleaned,"[('carroll london', 0.6331), ('lewis carrolls', 0.6078), ('carrolls nonsensliteratur', 0.6049), ('professionell carrolls', 0.5992), ('carrolls elfjährige', 0.5908)]"
53,653807_cleaned,"[('drusussteins römische', 0.5968), ('drusussteins erfolgten', 0.5799), ('antike drususstein', 0.558), ('drusussteins epigraphischer', 0.5517), ('drusussteins vorhanden', 0.5478)]"
54,10690_cleaned,"[('chromosomalen dna', 0.6117), ('chromatin chromosomenzahl', 0.5964), ('zwischen chromosomale', 0.5953), ('chromosom chromosomen', 0.583), ('chromatin verwendung', 0.5825)]"
55,6292554_cleaned,"[('fossil neandertal', 0.7248), ('fossil neanderthal', 0.7149), ('neanderthal species', 0.6659), ('neandertal neanderthal', 0.654), ('neanderthal skeleton', 0.648)]"
56,150445_cleaned,"[('marsilius systematische', 0.5539), ('paduaner politisch', 0.5531), ('marsilius regierungsformen', 0.537), ('deutungsrichtung marsilius', 0.5342), ('aristotelischen politischen', 0.5283)]"
57,4620934_cleaned,"[('rückhaltebecken hochwasserrückhaltedamms', 0.5933), ('hochwasserrückhaltebecken jonenbach', 0.5867), ('shochwasserruckhaltebecken jonenbach', 0.5788), ('jonenbach hochwasserrückhaltebecken', 0.5642), ('hochwasserrückhaltebecken affoltern', 0.542)]"
58,7907_cleaned,"[('mammaliaformes säugerartige', 0.7681), ('säugetiere mammalia', 0.7442), ('mammalia säugetiere', 0.7418), ('säugetiere mammalogie', 0.7269), ('forscher mammaliaformes', 0.6823)]"
59,1204789_cleaned,"[('galerie avenue', 0.6727), ('york galerie', 0.6668), ('galerie neue', 0.659), ('weltkriegs galerie', 0.6575), ('moderne galerie', 0.6572)]"
60,602297_cleaned,"[('bottesini musikalische', 0.7633), ('bottesini musikalischen', 0.7387), ('musikern bottesini', 0.7365), ('musik bottesini', 0.7298), ('biographen musikers', 0.6428)]"
61,105174_cleaned,"[('afrika verbreitetes', 0.5954), ('afrika populationsschwerpunkt', 0.5846), ('gepard afrika', 0.5451), ('afrikas asiens', 0.5209), ('afrika gebiet', 0.5201)]"
62,356223_cleaned,"[('prägend weißeritztalbahn', 0.6762), ('streckenprofils weißeritztalbahn', 0.6728), ('weißeritztalbahn streckenbeschreibung', 0.6726), ('betriebsführung weißeritztalbahn', 0.6672), ('streckendiesellokomotiven weißeritztalbahn', 0.6534)]"
63,318793_cleaned,"[('kassel huskies', 0.7409), ('huskies kassel', 0.7248), ('huskies qualifikationsrunde', 0.6399), ('aussenseiterrolle huskies', 0.6293), ('huskies sportmanagement', 0.6259)]"
64,2458350_cleaned,"[('düsseldorf kalkum', 0.5731), ('schlossparks kulturelle', 0.5609), ('kalkum düsseldorf', 0.5599), ('kalkum düsseldorfer', 0.5391), ('schloß kalkum', 0.5373)]"
65,68636_cleaned,"[('kunstakademie barcelona', 0.6261), ('künstler barcelonas', 0.5747), ('kunstmuseum basel', 0.5701), ('europe musée', 0.5469), ('kunst surrealismus', 0.5455)]"
66,312138_cleaned,"[('roridulaceae millionen', 0.4916), ('wanzenpflanzengewächse roridulaceae', 0.4862), ('roridulaceae', 0.4664), ('blätter roridulaceae', 0.4519), ('roridulaceae klaus', 0.4435)]"
67,3850958_cleaned,"[('force unleashed', 0.6109), ('unleashed lucasarts', 0.572), ('unleashed star', 0.5539), ('lucasarts force', 0.5384), ('unleashed 16', 0.5289)]"
68,2353003_cleaned,"[('flohallergische dermatitis', 0.6339), ('flohallergie immunglobulin', 0.5858), ('flohdermatitis', 0.5706), ('pathogenese flohallergien', 0.5656), ('flohdermatitis suter', 0.5613)]"
69,10180552_cleaned,"[('british racing', 0.6464), ('britischen motorsportliteratur', 0.6303), ('racing organisation', 0.6047), ('racing motors', 0.6019), ('racing publications', 0.5998)]"
70,87212_cleaned,"[('lennés landschaftsgestaltungen', 0.5844), ('landschaftsgestaltung potsdam', 0.5626), ('lenné landschaftsgärtnerischen', 0.5582), ('parke landschaften', 0.5554), ('zusammenhängenden landschaftsgarten', 0.5511)]"
71,6365181_cleaned,"[('johnny bertha', 0.5482), ('songs johnny', 0.5431), ('lou songs', 0.5226), ('burnette bertha', 0.4955), ('burnette johnny', 0.492)]"
72,393634_cleaned,"[('sichtbarkeit monarchen', 0.5438), ('monarchie verwaltung', 0.5301), ('wilhelms schloss', 0.5133), ('monarchen vorheriger', 0.5007), ('monarchen', 0.4958)]"
73,15747_cleaned,"[('platons übersichtsdarstellungen', 0.6251), ('existierendes platonischen', 0.6139), ('forschungsliteratur platons', 0.6099), ('bedeutung platons', 0.606), ('übersichtsdarstellung platons', 0.6054)]"
74,935470_cleaned,"[('kieferngewächse pinaceae', 0.5456), ('pinaceae', 0.5166), ('vegetation', 0.499), ('pinaceae endemit', 0.4897), ('liste iucn', 0.4894)]"
75,4879558_cleaned,"[('kant anmut', 0.5713), ('schiller anmut', 0.5198), ('schilling anmut', 0.5169), ('anmut schiller', 0.5157), ('anmut schillers', 0.5151)]"
76,101_cleaned,"[('element americium', 0.7515), ('americium radioaktives', 0.7434), ('elementaren americiums', 0.7273), ('elemente americium', 0.7214), ('americium radioaktive', 0.7185)]"
77,205401_cleaned,"[('london underground', 0.6766), ('underground london', 0.675), ('londoner underground', 0.6667), ('railway london', 0.6193), ('londons bahn', 0.6097)]"
78,5027676_cleaned,"[('straßenbahnen berlin', 0.694), ('berlin straßenbahnen', 0.6918), ('straßenbahn berlin', 0.6876), ('berliner straßenbahn', 0.6845), ('berliner straßenbahnen', 0.6783)]"
79,30078_cleaned,"[('gesamtdeutschen revolutionären', 0.6391), ('sozialistisch revolutionären', 0.6221), ('revolution revolutionen', 0.6184), ('ungarischen revolutionäre', 0.6101), ('revolution deutschen', 0.5979)]"
80,5729_cleaned,"[('chemisches element', 0.5176), ('atome gases', 0.5136), ('gemisch gas', 0.5076), ('gases wirkung', 0.501), ('chemischen elemente', 0.4992)]"
81,205563_cleaned,"[('gefieder rötlich', 0.5107), ('gefiedert schnabel', 0.5022), ('gefieder deutlich', 0.4998), ('saatkrähenschwärme tiere', 0.498), ('riesigen saatkrähenschwärme', 0.4973)]"
82,1441219_cleaned,"[('boote jaguar', 0.6958), ('jaguar boote', 0.6924), ('boot jaguar', 0.6858), ('schnellbootgeschwader jaguar', 0.6773), ('jaguar booten', 0.6722)]"
83,289440_cleaned,"[('kunstwerken qianlong', 0.6162), ('qianlong kunstwerken', 0.6135), ('qing qianlong', 0.602), ('qianlong institutionen', 0.5934), ('qianlongs kunstsammlung', 0.5898)]"
84,1562727_cleaned,"[('vegetation schichten', 0.7328), ('vegetationsveränderungen', 0.713), ('vegetation vegetation', 0.7106), ('vegetation bedeutendsten', 0.7089), ('vegetation', 0.7033)]"
85,7577835_cleaned,"[('geschichten gray', 0.5757), ('champion gray', 0.5309), ('gray champion', 0.5262), ('editionsgeschichte gray', 0.4811), ('deutlichsten gray', 0.4805)]"
86,456576_cleaned,"[('nationalparkgemeinden tourismusverband', 0.5819), ('gemeindegebietes nationalpark', 0.5395), ('bildungseinrichtung nationalparks', 0.5077), ('tourismusgemeinde osttirols', 0.4912), ('bewohner defereggentales', 0.4887)]"
87,103680_cleaned,"[('geschichte henry', 0.6124), ('henri henry', 0.5995), ('henry', 0.5889), ('französisch henry', 0.5828), ('henry website', 0.5816)]"
88,57675_cleaned,"[('fender stratocaster', 0.7471), ('fenders telecaster', 0.7432), ('stratocaster fender', 0.7395), ('telecaster fenders', 0.7377), ('fender telecaster', 0.7159)]"
89,394390_cleaned,"[('vogelgattungen gastornis', 0.6763), ('gastornis forschungsgeschichte', 0.6727), ('ansicht gastornis', 0.6631), ('biogeographie gastornis', 0.6532), ('gastornis verbindung', 0.6511)]"
90,217723_cleaned,"[('wirtschaftskrise argentinien', 0.6953), ('argentinien wirtschaftskrise', 0.6923), ('argentinien wirtschaftswachstums', 0.6801), ('produkte argentinien', 0.6559), ('wirtschaft argentinien', 0.6385)]"
91,155141_cleaned,"[('tabascosauce chilis', 0.7832), ('tabasco chilisaucen', 0.7566), ('tabasco chilis', 0.7374), ('tabasco chilischoten', 0.7288), ('chilisorte tabasco', 0.7215)]"
92,1483540_cleaned,"[('nordfriesischen konzentrationslagern', 0.5971), ('nordfriesland sichtweite', 0.5313), ('kulturzeitschrift norden', 0.5191), ('nordfriesischen', 0.509), ('strafverfolgung nordfriesischen', 0.5073)]"
93,4250432_cleaned,"[('königsnamen mainz', 0.4492), ('aufschriften könige', 0.42), ('weneg königlichen', 0.4155), ('könig weneg', 0.4138), ('königslisten untersuchungen', 0.4117)]"
94,4274206_cleaned,"[('zeitgenössische architekturpresse', 0.4827), ('berliner architekturwelt', 0.4822), ('gastronomiebetrieb berlin', 0.4769), ('architektur weinhaus', 0.4684), ('zeitgenössischen architekturpresse', 0.4646)]"
95,725070_cleaned,"[('flussschifffahrt dampfmaschine', 0.5622), ('dampfzugschiffen schiffe', 0.4964), ('kettenschifffahrt fluss', 0.4871), ('kettenschifffahrt flussabschnitten', 0.4867), ('kettenschifffahrt schiff', 0.4836)]"
96,4851_cleaned,"[('pythagoras hypotenusenquadrat', 0.7115), ('pythagoras hypotenusensatz', 0.7089), ('pythagoras mini', 0.6971), ('satzes pythagoras', 0.695), ('pythagoreischen satzes', 0.6926)]"
97,6088719_cleaned,"[('luftabwehr', 0.5961), ('luftabwehr ersten', 0.5947), ('rumänischen luftabwehr', 0.5765), ('luftangriffe respektvoll', 0.5254), ('aufarbeitung luftangriffe', 0.5228)]"
98,16178_cleaned,"[('barbarossabilder herrscherdarstellungen', 0.5764), ('barbarossa königsherrschaft', 0.562), ('barbarossas stauferzeitlicher', 0.5596), ('königsherrschaft barbarossa', 0.5595), ('barbarossas königsherrschaft', 0.5569)]"
99,818755_cleaned,"[('pavel nhl', 0.6236), ('nhl besten', 0.6212), ('nhl individuelle', 0.6031), ('nhl star', 0.6015), ('player nhl', 0.6004)]"
100,292339_cleaned,"[('grünen baumpythons', 0.5708), ('baumpythons tropischen', 0.514), ('grüner baumpython', 0.4971), ('grünen baumpython', 0.4957), ('baumpythons', 0.4956)]"
101,642958_cleaned,"[('friedensidee regelungen', 0.5211), ('gleichberechtigung friedensidee', 0.5131), ('friedenslösung gleichberechtigter', 0.4932), ('friede gleichberechtigter', 0.4878), ('zeitpunkt friedensschlusses', 0.4867)]"
102,4679552_cleaned,"[('begleiterscheinungen tumorkachexie', 0.6565), ('prognosefaktor tumorkachexie', 0.6549), ('wahrscheinlichkeit tumorkachexie', 0.6384), ('biomarkern tumorkachexie', 0.6371), ('tumorkachexie wahrscheinlichkeit', 0.6357)]"
103,982080_cleaned,"[('osttirol einheitlich', 0.6726), ('osttirol illyrischen', 0.6711), ('ereignis osttirol', 0.6672), ('osttirol verwendete', 0.6611), ('beispiel osttirol', 0.6586)]"
104,481104_cleaned,"[('orchideenarten brand', 0.6593), ('brandknabenkraut orchidee', 0.6122), ('orchidaceae früher', 0.5841), ('orchidaceae oskar', 0.5396), ('künkele orchidaceae', 0.539)]"
105,2911396_cleaned,"[('freiburger bahnhof', 0.7331), ('bahnhöfe freiburg', 0.7317), ('bahnhofs freiburg', 0.7249), ('freiburg bahnverkehr', 0.721), ('bahnhof freiburger', 0.7197)]"
106,10255414_cleaned,"[('italienischen musikfestivals', 0.7538), ('italienischen musik', 0.7097), ('italienischen musikalischen', 0.7006), ('italienische musikproduktion', 0.6953), ('musikstücke italienischen', 0.6928)]"
107,740931_cleaned,"[('mainzer heiligtum', 0.6183), ('heiligtums mainz', 0.618), ('heiligtum mainz', 0.6147), ('mainz heiligtum', 0.6113), ('mainz miniatur', 0.5972)]"
108,13052_cleaned,"[('weitere yachtsportarchiv', 0.5316), ('yacht wesentliche', 0.5016), ('größten segelsportveranstaltungen', 0.4917), ('yachtsport auflage', 0.4877), ('yachtsportarchiv geschichte', 0.4703)]"
109,1196021_cleaned,"[('timor landwirtschaftliche', 0.624), ('timor landvermessungsarbeiten', 0.6186), ('ostspitze timors', 0.6069), ('ostspitze timor', 0.6017), ('osttimors timor', 0.5999)]"
110,1544307_cleaned,"[('auftragsarbeit mecklenburgischen', 0.568), ('überwiegend niklots', 0.5478), ('zirzipanen niklots', 0.5419), ('aufwertung mecklenburgischen', 0.5417), ('tributherrschaft niklots', 0.5412)]"
111,6797778_cleaned,"[('monographie juan', 0.5077), ('madrid historienmalerei', 0.4995), ('hamen madrid', 0.4947), ('hamen velázquez', 0.4877), ('juan van', 0.4815)]"
112,7178031_cleaned,"[('meter entfernt', 0.5127), ('meter linde', 0.5088), ('selbstständigkeit dresden', 0.5069), ('stadtteil dresden', 0.5037), ('kirche meter', 0.4984)]"
113,1759636_cleaned,"[('diffusionsgewichtete magnetresonanztomografie', 0.6947), ('diffusionsmessung mrt', 0.6149), ('mrt diffusionsbewegung', 0.5965), ('mrt diffusions', 0.584), ('diffusionsgewichtete messungen', 0.5724)]"
114,5877273_cleaned,"[('sith jedi', 0.5577), ('jedi sith', 0.5511), ('rolle jedi', 0.5215), ('jedi jedi', 0.5196), ('republic sith', 0.5187)]"
115,3638853_cleaned,"[('operation ladoga', 0.5457), ('operationen leningrader', 0.5231), ('wehrmachtverbänden august', 0.5091), ('wehrmachtverbände', 0.4774), ('sowjetischen operationen', 0.4729)]"
116,2535800_cleaned,"[('stiftsgeländes landwirtschaftliche', 0.5153), ('landeskirche anhalts', 0.5132), ('kirche landwirtschaftliches', 0.4935), ('anhalt bedeutendsten', 0.4925), ('architekturdenkmale deutschland', 0.4905)]"
117,25544_cleaned,"[('herrschaftsrechte reichsministerialität', 0.6421), ('heinrichs herrschaft', 0.6295), ('herrschaftsbereiche heinrich', 0.6252), ('herrschaft heinrichs', 0.6197), ('herrschaftsübernahme heinrich', 0.6141)]"
118,3182798_cleaned,"[('hemingway killer', 0.6153), ('filmminuten hemingways', 0.6008), ('filmrechte hemingways', 0.5939), ('film hemingway', 0.5816), ('ernest hemingways', 0.5408)]"
119,153648_cleaned,"[('athleten sportlerinnen', 0.5451), ('olympische sportart', 0.5383), ('sportmedizin wissenschaft', 0.5378), ('sportler olympischen', 0.5271), ('sportverbände geschlechtskontrollen', 0.5268)]"
120,100944_cleaned,"[('mathematica whitehead', 0.7148), ('mathematikvorlesungen whitehead', 0.7128), ('wissenschaftsgeschichte whitehead', 0.7115), ('naturwissenschaften whiteheads', 0.7046), ('alfred whiteheads', 0.7033)]"
121,103341_cleaned,"[('gleichzeitig filteraufwand', 0.4554), ('schwankungen empfangsfrequenz', 0.4525), ('zf filterung', 0.4499), ('signalverarbeitung entwicklung', 0.4455), ('telekommunikation hf', 0.4273)]"
122,298364_cleaned,"[('berggießhübel landschaft', 0.5603), ('bergleute', 0.5181), ('gottleuba berggießhübel', 0.5051), ('berggießhübel dortige', 0.5003), ('berggießhübel entspringt', 0.4991)]"
123,845_cleaned,"[('regierungszeit augustus', 0.5516), ('wunschnachfolger augustus', 0.5485), ('augustus kaiserlicher', 0.5458), ('caligulas politik', 0.5442), ('romane caligula', 0.5442)]"
124,179375_cleaned,"[('höhlenräume meter', 0.5001), ('teufelsloch meter', 0.4824), ('höhleneingangs meter', 0.4783), ('meter teufelshöhle', 0.4776), ('hohlräume meter', 0.4757)]"
125,45943_cleaned,"[('hodenvolumen spermienproduktion', 0.6586), ('spermatici hodentorsion', 0.6105), ('hodenkanälchen spermien', 0.5989), ('gonadendysgenesien hoden', 0.5929), ('hodengewebe spermatogonien', 0.5918)]"
126,33339_cleaned,"[('london dreyfus', 0.5916), ('dreyfusard einspruch', 0.5906), ('dreyfus london', 0.5864), ('dreyfusarden henrys', 0.5848), ('dreyfus informationen', 0.5833)]"
127,1753727_cleaned,"[('schiffsführung admiralsbrücke', 0.5379), ('schiffe klasse', 0.503), ('schiffskollisionen militärschiffen', 0.484), ('schiff klasse', 0.4831), ('truman schiffe', 0.471)]"
128,177022_cleaned,"[('schwimmhalle olympic', 0.516), ('spiele sportpolitik', 0.5091), ('sportler olympischen', 0.4978), ('sporthalle trainingszwecke', 0.4966), ('sommerspielen sportler', 0.4874)]"
129,521904_cleaned,"[('sperbereule deutscher', 0.5456), ('flugunfähigen sperbereulen', 0.5127), ('schwanz sperbereule', 0.5057), ('sprache namen', 0.5026), ('sperbereule', 0.5017)]"
130,329087_cleaned,"[('burgruine badens', 0.5791), ('röttler burgfestspiele', 0.5643), ('baden burg', 0.5641), ('krüger burg', 0.5605), ('württemberg rötteln', 0.5494)]"
131,3914_cleaned,"[('platonforschung unterschiedliche', 0.6737), ('platonica writings', 0.6685), ('platon philosophischen', 0.6616), ('zusammenstellung platonfeindlichen', 0.6532), ('philosophenherrschaft platonischen', 0.6528)]"
132,8452300_cleaned,"[('tōkaido stationen', 0.6113), ('tōkaidō stationen', 0.6113), ('stationen tōkaidō', 0.5943), ('stationen tōkai', 0.5653), ('tōkaidō serien', 0.5405)]"
133,16406_cleaned,"[('fagottschulen instrument', 0.5565), ('fagott instruments', 0.5382), ('fagottes instrument', 0.5308), ('doppelrohrblattinstrumente bass', 0.5251), ('bassinstrument fagott', 0.5218)]"
